Kassenart;Quelle;Erstellungsdatum;Typ;Risikogruppe;Einheit;Wert
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG024;VT;76969300
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG025;VT;278690
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG026;VT;24587009
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG027;VT;29087235
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG028;VT;9643362
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG030;VT;1731546
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG031;VT;21099027
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG032;VT;645428
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG033;VT;30979949
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG034;VT;1532943
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG035;VT;361269
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG036;VT;81992
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG037;VT;10960064
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG038;VT;17201
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG039;VT;189354436
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG040;VT;162180677
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG041;VT;11050247
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG042;VT;10927371
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG043;VT;838909
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG044;VT;4285433
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG045;VT;1427131
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG046;VT;83487477
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG047;VT;5067085
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG048;VT;508986
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG049;VT;6377310
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG050;VT;37706602
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG051;VT;45081191
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG052;VT;109198501
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG053;VT;53875138
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG054;VT;55557249
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG055;VT;10882914
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG056;VT;29756625
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG057;VT;321282002
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG058;VT;575469310
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG060;VT;10095541
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG061;VT;11713664
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG062;VT;25455428
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG063;VT;5366551
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG065;VT;45584906
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG071;VT;187357962
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG072;VT;14085894
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG073;VT;29218477
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG074;VT;126377027
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG075;VT;11787588
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG077;VT;8142695
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG078;VT;50528993
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG079;VT;6199293
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG080;VT;415314724
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG081;VT;38353813
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG083;VT;214546527
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG084;VT;430695033
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG086;VT;279190973
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG087;VT;112299
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG088;VT;5394992
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG091;VT;1306478060
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG092;VT;326373415
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG095;VT;4781981
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG096;VT;28461199
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG098;VT;7447994
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG099;VT;14346969
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG100;VT;65112864
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG101;VT;13390011
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG103;VT;111703108
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG104;VT;8426982
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG105;VT;113889741
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG106;VT;159295144
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG108;VT;6801737
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG110;VT;66051980
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG111;VT;4214960
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG113;VT;69337090
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG114;VT;2479425
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG115;VT;108767496
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG117;VT;16881239
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG130;VT;12042101
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG131;VT;319348163
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG132;VT;28389084
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG133;VT;51991868
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG134;VT;43149622
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG136;VT;23738602
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG138;VT;2367155
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG144;VT;5612423
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG146;VT;114815511
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG147;VT;2468576
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG149;VT;37090458
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG152;VT;182728780
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG153;VT;18171935
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG155;VT;725537
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG156;VT;36495438
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG157;VT;78233767
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG158;VT;67175
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG159;VT;10464749
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG160;VT;2164354
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG162;VT;4111390
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG164;VT;14429333
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG165;VT;10785658
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG166;VT;30989077
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG169;VT;255114
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG170;VT;247450
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG172;VT;117163
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG173;VT;96800
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG174;VT;669003
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG175;VT;932443
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG176;VT;4129115
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG177;VT;5477670
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG178;VT;120443
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG180;VT;243802
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG184;VT;1458535
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG198;VT;1987763
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG199;VT;14548620
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG200;VT;56066581
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG204;VT;81603800
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG205;VT;9159540
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG207;VT;3525115
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG208;VT;8308122
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG209;VT;12788254
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG215;VT;202860290
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG216;VT;30687875
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG217;VT;653034
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG218;VT;211309
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG219;VT;6477492
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG220;VT;150116271
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG221;VT;2422486
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG222;VT;762545
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG225;VT;934469
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG226;VT;2956600
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG227;VT;32259750
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG228;VT;179344734
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG230;VT;137760390
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG231;VT;36773046
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG232;VT;3419048
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG233;VT;469797
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG234;VT;11047107
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG235;VT;22046714
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG237;VT;266093980
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG238;VT;235394
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG250;VT;59462
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG251;VT;258993668
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG252;VT;271063002
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG253;VT;222666396
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG254;VT;16967409
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG258;VT;144788970
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG259;VT;22748
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG261;VT;915304
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG262;VT;1437540
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG263;VT;6221221
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG264;VT;1508259
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG265;VT;17528138
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG266;VT;14165075
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG267;VT;10227908
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG268;VT;14546001
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG269;VT;11048722
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG270;VT;12245752
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG271;VT;7795255
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG272;VT;4163067
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG273;VT;23319461
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG274;VT;18135717
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG275;VT;76736372
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG276;VT;39754864
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG277;VT;86685559
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG278;VT;27089069
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG281;VT;42573
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG282;VT;49439
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG283;VT;54049922
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG284;VT;24735
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG285;VT;12605
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG286;VT;790631
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG288;VT;4700262
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG289;VT;10030499
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG290;VT;23022787
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG292;VT;113928
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG293;VT;5678896
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG294;VT;28837972
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG295;VT;12273027
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG296;VT;19964501
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG297;VT;1163868
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG298;VT;1672699
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG299;VT;1672303
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG300;VT;10035606
AOK;Grundlagenbescheid;20. Nov 17;HMG;HMG301;VT;1557675
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG001;VT;0
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG002;VT;0
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG003;VT;0
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG004;VT;0
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG005;VT;0
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG006;VT;0
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG007;VT;0
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG008;VT;0
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG009;VT;0
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG010;VT;0
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG011;VT;0
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG012;VT;0
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG013;VT;154
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG014;VT;0
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG015;VT;387
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG016;VT;148989
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG017;VT;1711753
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG018;VT;5653946
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG019;VT;11352209
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG020;VT;18212622
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG021;VT;22903445
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG022;VT;25666563
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG023;VT;28138364
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG024;VT;31455872
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG025;VT;34459486
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG026;VT;36958530
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG027;VT;41578190
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG028;VT;41670871
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG029;VT;42576448
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG030;VT;41741742
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG031;VT;40035629
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG032;VT;37538124
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG033;VT;36188542
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG034;VT;35204182
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG035;VT;35125413
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG036;VT;34189407
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG037;VT;33647984
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG038;VT;31816945
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG039;VT;30908149
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG040;VT;30294659
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG041;VT;29509832
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG042;VT;29027467
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG043;VT;29877407
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG044;VT;30405698
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG045;VT;33293206
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG046;VT;36762852
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG047;VT;38261544
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG048;VT;40351952
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG049;VT;41990800
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG050;VT;42498272
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG051;VT;43543753
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG052;VT;43349929
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG053;VT;44052477
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG054;VT;43502132
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG055;VT;42401153
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG056;VT;41599787
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG057;VT;39835432
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG058;VT;37462112
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG059;VT;34228136
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG060;VT;32009953
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG061;VT;30022932
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG062;VT;27293736
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG063;VT;23660607
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG064;VT;17683880
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG065;VT;8709822
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG066;VT;4663265
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG067;VT;438221
AOK;Grundlagenbescheid;20. Nov 17;KAGG;KAGG068;VT;74957
